receiver,latitude,longitude
301888,43.0989,-70.7833
302949,43.10175,-70.78143
302950,43.12777,-70.84776
301884,43.12465,-70.85643
301892,43.09341,-70.86326
301894,43.07128,-70.92422
302955,43.05304,-70.91198
301889,43.07129,-70.86795
301883,43.05467,-70.7233
302951,43.07605,-70.70302
301893,43.17496,-70.82393
302947,43.07101,-70.69842
301891,43.12595,-70.85725
301890,43.09177,-70.86021
302952,43.067994,-70.708103
301887,43.12886,-70.8817
301886,43.15198,-70.84763
302953,43.11686,-70.80399
302954,43.12171,-70.81603
302956,43.05531,-70.71699
302948,43.05527,-70.71384
302300,43.079031,-70.752689